13060,776,18
13061,777,20
13062,777,18
13063,778,19
13064,776,18
13065,775,18
13066,777,19
13067,777,19
13068,777,18
13069,778,19
13070,777,18
13071,777,19
13072,777,19
13073,779,19
13074,778,18
13075,775,18
13076,774,20
13077,773,18
13078,769,19
13079,769,18
13080,763,19
13081,766,18
13082,763,19
13083,763,19
13084,759,19
13085,758,18
13086,758,18
13087,761,19
13088,765,18
13089,768,19
13090,775,19
13091,777,18
13092,780,19
13093,782,18
13094,784,19
13095,785,19
13096,787,19
13097,789,18
13098,790,19
13099,791,18
13100,790,20
13101,790,19
13102,786,18
13103,783,20
13104,786,19
13105,782,19
13106,784,20
13107,782,20
13108,781,19
13109,775,19
13110,786,19
13111,788,19
13112,786,18
13113,786,19
13114,786,18
13115,789,19
13116,786,19
13117,784,18
13118,782,19
13119,782,19
13120,784,18
13121,787,19
13122,787,18
13123,788,19
13124,788,19
13125,788,19
13126,790,19
13127,789,18
13128,788,18
